LA11_name,IMD19rank_new5,pop_imd,total_pop,prop_pop
Birmingham,1,664940,1141374,58.257854130197465
Birmingham,2,238229,1141374,20.87212429930943
Birmingham,3,141168,1141374,12.368250897602364
Birmingham,4,65101,1141374,5.703739527972426
Birmingham,5,31936,1141374,2.7980311449183177
Burnley,1,47752,88527,53.940605690919156
Burnley,2,19514,88527,22.042992533351406
Burnley,3,7919,88527,8.945293526268822
Burnley,4,11903,88527,13.445615461949462
Burnley,5,1439,88527,1.625492787511155
Hartlepool,1,49249,93242,52.81847236224019
Hartlepool,2,12606,93242,13.519658522983205
Hartlepool,3,7528,93242,8.073614894575407
Hartlepool,4,14205,93242,15.234550953433002
Hartlepool,5,9654,93242,10.353703266768195
